message_id,message_content,time,is_pinned,user_id,channel_id
1,"Welcome to Channel 1!",2024-11-20 10:00:00,False,201,1
2,"Pinned message for Channel 1.",2024-11-20 10:05:00,True,202,1
3,"Channel 2 discussion started.",2024-11-20 10:10:00,False,203,2
4,"Quick announcement for Channel 2.",2024-11-20 10:15:00,False,204,2
5,"Pinned message for Channel 3.",2024-11-20 10:20:00,True,205,3
6,"Random chat in Channel 3.",2024-11-20 10:25:00,False,206,3
7,"Important update in Channel 4.",2024-11-20 10:30:00,False,207,4
8,"Pinned message for Channel 4.",2024-11-20 10:35:00,True,208,4
9,"General discussion in Channel 5.",2024-11-20 10:40:00,False,209,5
10,"Channel 6 greetings.",2024-11-20 10:45:00,False,210,6
11,"Channel 7 random talk.",2024-11-20 10:50:00,False,211,7
12,"Pinned message for Channel 7.",2024-11-20 10:55:00,True,212,7
13,"Channel 8 announcements.",2024-11-20 11:00:00,False,213,8
14,"Discussion thread in Channel 9.",2024-11-20 11:05:00,False,214,9
15,"Pinned message for Channel 10.",2024-11-20 11:10:00,True,215,10
16,"Random update in Channel 11.",2024-11-20 11:15:00,False,216,11
17,"Channel 12 conversations.",2024-11-20 11:20:00,False,217,12
18,"Pinned update in Channel 13.",2024-11-20 11:25:00,True,218,13
19,"Announcements in Channel 14.",2024-11-20 11:30:00,False,219,14
20,"Final message in Channel 15.",2024-11-20 11:35:00,False,220,15
